,Cities,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Busselton,0,AU,1559024353,34,-33.64,115.35,69.01,12.86
1,Hilo,90,US,1559024354,74,19.71,-155.08,78.8,8.05
2,Albany,40,US,1559024355,71,42.65,-73.75,57.0,3.36
3,Ushuaia,46,AR,1559024356,86,-54.81,-68.31,21.86,4.81
4,Port Alfred,100,ZA,1559024356,92,-33.59,26.89,58.22,8.52
5,Mount Gambier,75,AU,1559024134,71,-37.83,140.78,55.4,20.8
6,Vao,92,EE,1559024356,70,59.1,26.19,55.16,8.5
7,Bambous Virieux,75,MU,1559024357,73,-20.34,57.76,77.0,14.99
8,Upington,0,ZA,1559024357,46,-28.46,21.24,53.6,2.24
9,Atuona,40,PF,1559024357,72,-9.8,-139.03,82.34,13.89
10,Punta Arenas,75,CL,1559024358,100,-53.16,-70.91,26.6,4.7
11,Puerto Ayora,69,EC,1559024358,87,-0.74,-90.35,76.04,11.72
12,Hobart,40,AU,1559024358,70,-42.88,147.33,46.99,13.87
13,Reshetylivka,25,UA,1559024359,63,49.56,34.08,72.8,6.78
14,Kokologo,20,BF,1559024359,61,12.19,-1.88,82.4,5.82
15,Bredasdorp,91,ZA,1559024359,67,-34.53,20.04,59.0,9.17
16,Poum,20,MK,1559024359,68,41.28,20.71,64.4,2.24
17,Pangnirtung,93,CA,1559024360,81,66.15,-65.72,35.18,2.82
18,Nicoya,40,CR,1559024360,94,10.15,-85.45,75.2,4.7
19,Bluff,59,AU,1559024361,25,-23.58,149.07,75.68,7.61
20,Nikolskoye,75,RU,1559024361,82,59.7,30.79,57.99,8.95
21,Tasiilaq,13,GL,1559024361,86,65.61,-37.64,30.2,23.04
22,Hambantota,20,LK,1559024362,70,6.12,81.12,91.4,4.7
23,Rikitea,94,PF,1559024362,81,-23.12,-134.97,75.32,14.18
24,Roald,40,NO,1559024362,75,62.58,6.12,41.0,6.93
25,Lorengau,100,PG,1559024363,82,-2.02,147.27,81.98,1.19
26,Khatanga,99,RU,1559024363,100,71.98,102.47,33.74,6.35
27,Adrar,0,DZ,1559024363,27,27.87,-0.29,73.4,17.22
28,Morgan City,1,US,1559024363,88,29.7,-91.21,78.8,5.82
29,Arraial do Cabo,0,BR,1559024364,83,-22.97,-42.02,72.62,10.29
30,Santa Lucia,75,IT,1559024137,67,39.93,9.66,62.6,6.93
31,Vaini,20,IN,1559024365,49,15.34,74.49,89.6,3.36
32,Kapaa,40,US,1559024366,78,22.08,-159.32,80.6,6.93
33,Pueblo Nuevo,14,MX,1559024367,95,23.99,-106.96,70.0,3.98
34,Valparaiso,90,US,1559024123,82,41.47,-87.06,70.0,3.36
35,Saskylakh,79,RU,1559024367,99,71.97,114.09,37.88,8.21
36,Freeport,0,BS,1559024368,66,26.54,-78.7,78.38,11.14
37,Male,34,UA,1559024368,83,50.74,33.7,68.48,9.24
38,La Ronge,75,CA,1559024368,43,55.1,-105.3,55.4,6.93
39,Vila Franca do Campo,40,PT,1559024369,77,37.72,-25.43,62.6,11.41
40,Cidreira,100,BR,1559024429,92,-30.17,-50.22,65.06,6.33
41,Thompson,40,CA,1559024429,60,55.74,-97.86,42.8,6.93
42,Cape Town,20,ZA,1559024430,71,-33.93,18.42,60.01,5.82
43,Sajanan,0,TN,1559024430,82,37.06,9.24,60.8,6.93
44,Nishihara,75,JP,1559024431,53,35.74,139.53,80.01,9.17
45,Asyut,0,EG,1559024431,47,27.18,31.19,78.8,6.93
46,Nekhayevskiy,0,RU,1559024431,56,50.41,41.76,71.01,3.0
47,Sao Domingos,4,BR,1559024432,70,-13.4,-46.32,71.54,6.2
48,Airai,53,TL,1559024432,49,-8.93,125.41,87.74,3.31
49,Nador,0,MA,1559024432,45,35.17,-2.93,68.0,3.36
50,Tiznit,0,MA,1559024432,85,29.7,-9.73,66.86,5.57
51,Mataura,100,NZ,1559024433,79,-46.19,168.86,55.0,1.99
52,Avarua,2,CK,1559024433,73,-21.21,-159.78,75.2,6.93
53,Waynesville,1,US,1559024433,88,37.83,-92.2,72.0,5.82
54,Bubaque,75,GW,1559024434,74,11.28,-15.83,79.64,11.74
55,Hofn,76,IS,1559024434,78,64.25,-15.21,22.94,17.09
56,Hamilton,90,CA,1559024431,82,43.26,-79.87,60.01,8.05
57,Hasaki,75,JP,1559024435,57,35.73,140.83,77.0,18.34
58,Hermanus,34,ZA,1559024435,80,-34.42,19.24,59.0,4.0
59,Changping,0,CN,1559024435,12,40.22,116.23,97.0,8.95
60,Ormara,0,PK,1559024436,27,25.21,64.64,101.24,15.26
61,Mar del Plata,17,AR,1559024436,76,-46.43,-67.52,36.8,9.55
62,Ponta do Sol,0,BR,1559024436,94,-20.63,-46.0,57.68,3.22
63,Moose Factory,1,CA,1559024437,75,51.26,-80.61,42.8,5.82
64,Yuksekova,0,TR,1559024437,42,37.57,44.29,71.6,2.24
65,Grand Gaube,75,MU,1559024437,73,-20.01,57.66,77.0,14.99
66,Kavaratti,40,IN,1559024438,70,10.57,72.64,89.6,6.93
67,Jamestown,56,AU,1559024438,64,-33.21,138.6,58.58,16.11
68,Sembakung,75,ID,1559024236,79,3.82,117.25,84.2,3.36
69,Longyearbyen,40,NO,1559024439,73,78.22,15.63,32.0,6.11
70,Khorramshahr,0,IR,1559024439,16,30.43,48.18,105.8,2.24
71,Butaritari,100,KI,1559024439,77,3.07,172.79,84.68,11.9
72,Lompoc,90,US,1559024440,82,34.64,-120.46,55.99,11.41
73,Shaunavon,81,CA,1559024440,31,49.65,-108.41,51.38,4.18
74,Saldanha,99,PT,1559024441,75,41.42,-6.55,52.28,3.51
75,Saint George,0,GR,1559024441,68,39.45,22.34,69.8,3.62
76,Quatre Cocos,75,MU,1559024441,73,-20.21,57.76,77.0,14.99
77,Shu,0,KZ,1559024441,29,43.6,73.76,78.38,10.11
78,Geraldton,5,CA,1559024442,65,49.72,-86.95,41.0,2.24
79,Gravdal,20,NO,1559024442,70,59.79,5.78,48.0,4.7
80,Harper,90,US,1559024442,78,30.3,-99.24,77.0,18.34
81,Carnarvon,93,ZA,1559024443,65,-30.97,22.13,52.1,10.29
82,Bronnoysund,40,NO,1559024443,64,65.46,12.2,46.4,6.93
83,Port Hedland,0,AU,1559024443,16,-20.31,118.58,93.2,12.75
84,Qaanaaq,0,GL,1559024444,78,77.48,-69.36,18.08,4.52
85,New Norfolk,40,AU,1559024504,70,-42.78,147.06,46.99,13.87
86,Constitucion,20,MX,1559024504,75,23.99,-104.67,55.34,7.87
87,Chokurdakh,100,RU,1559024504,100,70.62,147.9,33.38,7.43
88,Ndjole,100,GA,1559024505,97,-0.18,10.76,74.06,1.19
89,Igarka,58,RU,1559024505,100,67.47,86.57,33.38,5.39
90,Port Elizabeth,1,US,1559024505,87,39.31,-74.98,64.99,5.21
91,Nome,1,US,1559024506,88,30.04,-94.42,80.01,4.7
92,Okha,98,RU,1559024506,91,53.59,142.95,38.42,21.94
93,Tuktoyaktuk,90,CA,1559024506,93,69.44,-133.03,37.4,18.34
94,Dikson,87,RU,1559024507,85,73.51,80.55,31.58,4.79
